Id,Name,Country,Employees,Ownership,Revenue,Industry
3782,Kim Group,Malaysia,138,Private,262366,Healthcare
3783,"Gonzalez, Walker and Howell",Malaysia,416,Private,806546,Education
3784,Wall LLC,Malaysia,,Private,931034,Education
3785,Wilson PLC,Singapore,,Private,761461,Oil & Gas
3786,Jones-Brown,Hongkong,2389,Private,,Financials
3787,Daniels-Duncan,Malaysia,,Public,984114,Oil & Gas
3788,Lopez-Spence,Singapore,1069,Private,,Information Technology
3789,"Savage, Harris and Butler",Hongkong,,Private,921549,Financials
3790,"Garcia, Ingram and Johnson",Thailand,6640,Public,,Healthcare
3791,Mueller Group,Malaysia,483,Private,602130,Oil & Gas
3792,"Hampton, Miller and Osborne",Malaysia,3250,Public,73127713,Oil & Gas
3793,Sutton Ltd,Thailand,4825,Public,48464349,Healthcare
3794,Saunders-Serrano,Singapore,,Private,594261,Healthcare
3795,"Moore, Anderson and Bean",Singapore,5894,Private,,Construction
3796,Martinez Group,Malaysia,1478,Public,10534724,Healthcare
3797,Brady-Sawyer,Thailand,,Private,679580,Healthcare
3798,"Gibson, Edwards and Davis",Malaysia,,Private,404993,Education
3799,"Rice, Khan and Barker",Malaysia,317,Private,505586,Financials
3800,Bradley Group,Thailand,104,Private,491199,Education
3801,"Montes, Woodward and Woods",Thailand,,Private,242323,Construction
3802,Johnson PLC,Thailand,2339,Public,35503044,Oil & Gas
3803,Kelly-Wilson,Hongkong,,Public,236772,Information Technology
3804,"Meyer, Mcdonald and Ramirez",Hongkong,,Private,820440,Financials
3805,Mills and Sons,Thailand,9735,Private,,Oil & Gas
3806,Scott-Blair,Malaysia,1489,Public,69643171,Healthcare
3807,Benjamin-Clements,Thailand,230,Private,235017,Education
3808,Williams and Sons,Malaysia,9392,Public,55159904,Oil & Gas
3809,Adams-Jackson,Singapore,403,Private,629481,Oil & Gas
3810,Jennings-Smith,Hongkong,,Private,512338,Information Technology
3811,Griffith LLC,Thailand,5086,Public,53679428,Financials
3812,"Scott, Gray and Mercado",Malaysia,3604,Public,95866790,Education
3813,Fox-Ortega,Malaysia,1844,Public,,Oil & Gas
3814,Garcia-Conway,Malaysia,2456,Public,76604615,Construction
3815,Castillo Group,Malaysia,322,Private,989775,Financials
3816,Wilson-Rodriguez,Thailand,184,Private,429922,Education
3817,Patterson-Rojas,Malaysia,137,Private,781462,Financials
3818,"Harvey, Brown and Berry",Singapore,539,Public,,Construction
3819,Lopez Group,Singapore,,Public,642672,Healthcare
3820,Sosa PLC,Malaysia,,Private,953567,Oil & Gas
3821,"Thomas, Kennedy and Larson",Hongkong,1768,Public,,Oil & Gas
3822,Moon-Collins,Singapore,173,Private,354982,Oil & Gas
3823,Watkins-Singh,Hongkong,,Private,157110,Construction
3824,Bowers-Wagner,Singapore,327,Private,537442,Healthcare
3825,"Evans, Price and Medina",Singapore,976,Private,,Education
3826,Rogers Group,Hongkong,4035,Private,,Education
3827,Steele-Jenkins,Thailand,2542,Public,,Information Technology
3828,"Warner, Jackson and Mccann",Thailand,8970,Private,,Education
3829,Jones Inc,Thailand,,Public,325556,Education
3830,Walker-Barajas,Singapore,,Private,647810,Construction
3831,"Hart, Burns and King",Singapore,295,Public,,Healthcare
3832,Taylor-Ford,Singapore,246,Private,467303,Information Technology
3833,Lopez and Sons,Thailand,,Public,415635,Construction
3834,"Daniels, Martinez and Gibbs",Hongkong,7736,Public,67679841,Financials
3835,"Gilbert, Bryant and Petersen",Singapore,2801,Public,48793949,Financials
3836,"Mills, Green and Henderson",Malaysia,1364,Public,18959859,Oil & Gas
3837,Nichols PLC,Singapore,,Private,196622,Construction
3838,"Boyd, Bridges and Petty",Thailand,,Private,261942,Oil & Gas
3839,"Gill, Bowers and Garcia",Hongkong,196,Private,404994,Financials
3840,Johnston and Sons,Singapore,,Private,240517,Information Technology
3841,Walton-Nolan,Thailand,483,Private,111972,Construction
3842,Conrad-Alvarez,Malaysia,351,Private,224506,Financials
3843,"Olson, Hunt and Marshall",Singapore,2333,Public,73160905,Education
3844,Fields-Tran,Hongkong,,Private,389853,Financials
3845,"King, Lozano and Wallace",Malaysia,,Public,558843,Education
3846,Dickson-Vargas,Singapore,9152,Public,40467005,Oil & Gas
3847,Massey LLC,Hongkong,,Private,640376,Information Technology
3848,Mills-Prince,Hongkong,,Private,378860,Healthcare
3849,Proctor Ltd,Hongkong,6520,Public,,Information Technology
3850,Johnson Group,Singapore,445,Private,620951,Financials
3851,Edwards-Baker,Singapore,,Private,521379,Information Technology
3852,Anderson PLC,Singapore,4712,Private,,Information Technology
3853,Perry Inc,Hongkong,9704,Public,,Oil & Gas
3854,Garcia-Ellis,Malaysia,,Public,659816,Information Technology
3855,Lang-Becker,Malaysia,61,Private,496850,Financials
3856,"Rivera, Reed and Castro",Malaysia,,Private,559505,Education
3857,"Banks, Peterson and Holland",Thailand,455,Private,373994,Oil & Gas
3858,Castro-Henderson,Hongkong,,Public,315512,Information Technology
3859,"Williams, Estes and Davis",Hongkong,9915,Public,55769587,Healthcare
3860,Montoya and Sons,Singapore,2783,Private,,Healthcare
3861,Williamson-Greene,Hongkong,,Private,331075,Construction
3862,Martinez-Lynch,Hongkong,,Public,133146,Information Technology
3863,"Johnson, Hanna and Brown",Hongkong,430,Private,330313,Financials
3864,"Parker, Larsen and Allison",Hongkong,,Public,654235,Construction
3865,"Johnson, Hawkins and Young",Hongkong,,Public,830104,Financials
3866,Walsh-Austin,Thailand,3163,Public,70811620,Education
3867,"King, Watson and Moore",Singapore,,Private,670808,Education
3868,Henderson and Sons,Hongkong,8170,Private,,Healthcare
3869,"Gay, Berger and Lynch",Malaysia,,Private,452132,Oil & Gas
3870,Brown Group,Thailand,7767,Public,,Information Technology
3871,Fletcher and Sons,Malaysia,8261,Public,,Oil & Gas
3872,Galloway LLC,Thailand,3841,Public,,Financials
3873,Buckley-Moore,Malaysia,1540,Public,62047327,Financials
3874,"Wood, Nichols and Pacheco",Hongkong,9481,Public,76243697,Financials
3875,Cervantes and Sons,Singapore,,Private,422362,Information Technology
3876,Gross-Lawrence,Malaysia,,Private,489977,Financials
3877,"Williams, Garcia and Adkins",Malaysia,,Private,285484,Construction
3878,Miller-Robertson,Singapore,122,Private,228171,Construction
3879,Evans Ltd,Singapore,337,Private,812577,Healthcare
3880,Thomas and Sons,Singapore,,Public,381655,Construction
3881,Smith-Miller,Singapore,210,Private,134426,Education
3882,Huffman Inc,Thailand,5692,Public,21565631,Information Technology
3883,West-Neal,Singapore,4730,Public,97422347,Healthcare
3884,Briggs Ltd,Malaysia,222,Private,793467,Information Technology
3885,Cook-Mckee,Singapore,,Private,900611,Construction
3886,Copeland LLC,Singapore,3303,Public,51663040,Financials
3887,"Paul, Love and Burton",Malaysia,228,Private,490132,Financials
3888,Lee and Sons,Malaysia,,Private,929401,Financials
3889,"Allen, Stephenson and Serrano",Singapore,5717,Public,,Construction
3890,Mullen Ltd,Singapore,,Private,943935,Education
3891,"Olsen, Foster and Medina",Malaysia,8036,Public,,Healthcare
3892,Nolan Ltd,Thailand,372,Private,801569,Education
3893,"Johnson, Morales and Hester",Singapore,5992,Public,,Oil & Gas
3894,"Campbell, Owens and Walker",Singapore,9097,Private,,Oil & Gas
3895,Olson Ltd,Thailand,7828,Public,89021537,Oil & Gas
3896,Bailey Ltd,Singapore,9080,Public,25892183,Healthcare
3897,Cain LLC,Singapore,4605,Public,17734122,Education
3898,Miller Group,Hongkong,1178,Public,83775283,Financials
3899,Stafford LLC,Singapore,,Public,268992,Information Technology
3900,Downs LLC,Singapore,6673,Private,,Education
3901,Anderson PLC,Thailand,4582,Private,,Construction
3902,"Abbott, Brady and Young",Malaysia,386,Private,148795,Healthcare
3903,"Lopez, Gray and Sullivan",Malaysia,,Private,764379,Education
3904,Wilson-Collins,Malaysia,2597,Public,,Education
3905,"Ayala, Roman and Harvey",Hongkong,3888,Public,44798783,Oil & Gas
3906,"Watkins, Dean and Clark",Hongkong,8676,Public,37950841,Education
3907,Wilson LLC,Hongkong,,Public,434546,Construction
3908,Singh-Martinez,Hongkong,3859,Public,68646714,Healthcare
3909,Shelton LLC,Hongkong,,Public,932025,Oil & Gas
3910,Mueller-Miller,Malaysia,,Public,345490,Construction
3911,"Campbell, Taylor and Grant",Hongkong,,Private,469940,Information Technology
3912,Reyes-Smith,Hongkong,4069,Public,,Construction
3913,Lee Inc,Thailand,5351,Private,,Information Technology
3914,"Murray, Golden and Gould",Thailand,76,Private,355851,Financials
3915,"Hunter, Reeves and Hill",Thailand,5203,Public,91708837,Oil & Gas
3916,Ellison-Henry,Singapore,327,Private,660935,Oil & Gas
3917,Davis Inc,Thailand,5394,Public,,Healthcare
3918,Acevedo-Guerrero,Singapore,,Private,851679,Financials
3919,"Rivers, Spencer and Campbell",Malaysia,1341,Private,,Construction
3920,Williams LLC,Malaysia,7721,Public,92279965,Financials
3921,Smith LLC,Hongkong,2671,Public,62282397,Information Technology
3922,Carr-Garza,Malaysia,6009,Public,37685802,Oil & Gas
3923,"Reese, Nash and Garcia",Malaysia,91,Private,848384,Financials
3924,"Bryan, Smith and Wheeler",Thailand,318,Private,189978,Information Technology
3925,Reed-Thomas,Hongkong,4408,Public,,Healthcare
3926,Gilmore-Thomas,Thailand,1110,Public,72331172,Financials
3927,"Cardenas, Barnes and Williamson",Thailand,,Public,144899,Information Technology
3928,Walker-Hester,Malaysia,5357,Private,,Healthcare
3929,"Aguilar, Pugh and Lynch",Thailand,,Private,430953,Oil & Gas
3930,"Perez, Jones and Warner",Malaysia,1769,Public,10767705,Financials
3931,Bailey-Powers,Thailand,382,Private,682249,Construction
3932,Avila LLC,Malaysia,3182,Public,71067851,Construction
3933,Walker LLC,Malaysia,,Public,718021,Construction
3934,Hernandez-Sanders,Malaysia,,Public,939461,Healthcare
3935,"Reed, Holmes and Klein",Thailand,3807,Private,,Oil & Gas
3936,Knight PLC,Thailand,9868,Public,,Oil & Gas
3937,Haas and Sons,Hongkong,5038,Public,,Construction
3938,Nielsen and Sons,Singapore,220,Private,155107,Healthcare
3939,Walker Group,Hongkong,281,Private,809642,Construction
3940,Carpenter-George,Malaysia,,Public,375892,Oil & Gas
3941,Nguyen Ltd,Singapore,96,Private,226369,Information Technology
3942,King-Jackson,Malaysia,,Public,843455,Information Technology
3943,Hill PLC,Thailand,,Private,770078,Oil & Gas
3944,Davis PLC,Hongkong,274,Private,759436,Information Technology
3945,"Lee, Webb and Harrison",Hongkong,2213,Public,62317515,Oil & Gas
3946,Kelly-Rogers,Singapore,378,Private,585217,Information Technology
3947,Fitzgerald-Smith,Thailand,475,Private,170991,Construction
3948,"Adams, Clark and Hayes",Thailand,4406,Public,,Financials
3949,Smith LLC,Hongkong,400,Private,748765,Financials
3950,Martinez and Sons,Malaysia,5460,Public,72213421,Education
3951,Koch-Larson,Malaysia,5358,Public,15380099,Construction
3952,Henry LLC,Hongkong,5439,Public,15544012,Oil & Gas
3953,Rogers-Porter,Hongkong,1688,Public,28125738,Education
3954,Larson-Russell,Thailand,1976,Public,63803620,Healthcare
3955,"Shaw, Miller and Moore",Thailand,453,Private,979026,Construction
3956,"Owen, Adams and Blankenship",Singapore,259,Private,606082,Education
3957,"Archer, English and Wong",Singapore,8126,Public,70895900,Healthcare
3958,Hubbard-Howard,Singapore,9380,Private,,Information Technology
3959,Kim Group,Thailand,9940,Public,93953220,Information Technology
3960,Abbott and Sons,Singapore,9476,Public,,Education
3961,"Baker, Green and Barnes",Malaysia,422,Private,387986,Financials
3962,Contreras-Holmes,Singapore,6395,Public,57742563,Oil & Gas
3963,Brown and Sons,Malaysia,3887,Private,,Education
3964,Walker Inc,Singapore,275,Private,724261,Oil & Gas
3965,Obrien-Powell,Thailand,,Public,648720,Financials
3966,"Archer, Martin and Turner",Hongkong,,Private,355491,Oil & Gas
3967,"Garcia, Smith and Thomas",Malaysia,9042,Private,,Healthcare
3968,"Brown, Hughes and Brandt",Singapore,3929,Public,89650262,Financials
3969,Elliott and Sons,Malaysia,7837,Public,,Education
3970,Hodge-Davis,Singapore,99,Private,359508,Information Technology
3971,"Brown, Gray and Tucker",Hongkong,316,Private,488099,Information Technology
3972,Arnold PLC,Singapore,4752,Public,47107426,Financials
3973,"Gregory, Dennis and Jackson",Malaysia,9013,Public,45104919,Healthcare
3974,Ellis and Sons,Singapore,621,Public,,Oil & Gas
3975,"Gregory, Jones and Cook",Malaysia,,Public,252165,Healthcare
3976,"Morris, Hernandez and Crawford",Singapore,4375,Public,40891663,Healthcare
3977,Taylor Group,Singapore,5496,Public,,Oil & Gas
3978,White-Smith,Thailand,353,Private,953356,Financials
3979,Chung and Sons,Malaysia,,Private,987933,Information Technology
3980,"Mahoney, Lindsey and Curtis",Singapore,9364,Public,73228163,Information Technology
3981,Powers-Serrano,Thailand,8292,Public,,Financials
3982,Perez Inc,Malaysia,759,Private,,Information Technology
3983,Jackson-Robinson,Malaysia,2824,Private,,Financials
3984,Zuniga Ltd,Singapore,,Private,832282,Information Technology
3985,Hernandez PLC,Singapore,6387,Public,,Construction
3986,Baker-George,Hongkong,6278,Private,,Financials
3987,Black Inc,Malaysia,4441,Public,,Education
3988,Williams-Payne,Malaysia,4641,Public,34917615,Oil & Gas
3989,"Gibson, Parker and Bennett",Hongkong,6638,Private,,Information Technology
3990,Kelly-West,Malaysia,973,Private,,Healthcare
3991,"Jackson, Perry and Holland",Thailand,3898,Public,57829666,Education
3992,Brewer-Ortiz,Singapore,7210,Public,,Financials
3993,"Randolph, Fox and Ballard",Hongkong,,Public,654329,Education
3994,Wolf-Smith,Thailand,9944,Public,48367497,Education
3995,"Wall, King and Rollins",Malaysia,6801,Public,,Construction
3996,Meyer Ltd,Malaysia,,Private,580346,Education
3997,Gill-Brown,Singapore,,Public,810843,Healthcare
3998,Vance-Glover,Thailand,60,Private,649894,Education
3999,Rodriguez PLC,Singapore,5974,Public,33450257,Education
4000,"Johnson, Montoya and Thomas",Malaysia,,Private,794601,Construction
4001,Church-Morgan,Singapore,159,Private,512509,Financials
4002,Hampton and Sons,Hongkong,6834,Public,80852416,Healthcare
4003,"Rogers, Jackson and Mcdonald",Thailand,7381,Private,,Financials
4004,Campbell PLC,Hongkong,7003,Public,,Financials
4005,"Carter, Lane and Gray",Malaysia,167,Private,822096,Education
4006,Murphy-Melton,Singapore,7561,Public,79620559,Construction
4007,Peterson and Sons,Thailand,8400,Public,29841925,Construction
4008,Preston-Wilson,Malaysia,74,Private,399956,Healthcare
4009,Gonzalez and Sons,Thailand,215,Public,,Education
4010,"Cook, Serrano and Morrison",Singapore,472,Private,935135,Construction
4011,Oneill Ltd,Thailand,2426,Public,22575132,Oil & Gas
4012,Russell-Robinson,Malaysia,,Private,722286,Construction
4013,Robbins and Sons,Thailand,7515,Public,12964285,Construction
4014,"Dickson, Hawkins and Perez",Thailand,463,Private,983722,Information Technology
4015,Weaver Group,Hongkong,61,Private,107699,Education
4016,Martinez Ltd,Hongkong,4843,Private,,Financials
4017,Davis Ltd,Singapore,,Private,556672,Construction
4018,Anderson LLC,Thailand,437,Private,427035,Construction
4019,Moore LLC,Thailand,8195,Public,36215725,Information Technology
4020,Reeves-Nunez,Malaysia,5562,Public,14690181,Healthcare
4021,"Reed, Martinez and Edwards",Thailand,7749,Public,42696338,Information Technology
4022,Conley and Sons,Singapore,8667,Public,95059470,Education
4023,"Steele, Stanley and Brown",Singapore,3343,Private,,Financials
4024,Espinoza PLC,Hongkong,,Public,469259,Financials
4025,"Sanchez, Lawrence and Montes",Hongkong,,Private,235299,Oil & Gas
4026,"Jones, Wong and Henson",Hongkong,,Public,289047,Education
4027,Hernandez and Sons,Thailand,468,Private,500972,Healthcare
4028,"White, Conner and Gibson",Malaysia,9936,Public,51199242,Education
4029,Schmidt-Bowman,Malaysia,,Private,188300,Construction
4030,Brown PLC,Hongkong,8924,Public,,Financials
4031,Morgan PLC,Singapore,413,Private,243008,Oil & Gas
4032,Bennett Ltd,Thailand,,Public,978355,Healthcare
4033,"Franco, Martinez and Clark",Singapore,6542,Public,87567824,Healthcare
4034,Jackson PLC,Malaysia,6412,Private,,Healthcare
4035,Rice-Rollins,Malaysia,4559,Public,26497798,Oil & Gas
4036,Payne-Porter,Malaysia,234,Private,600254,Education
4037,"Roberts, Norton and Carpenter",Singapore,453,Private,989454,Oil & Gas
4038,"Mitchell, Stephens and Larson",Singapore,,Private,822292,Healthcare
4039,Craig PLC,Hongkong,309,Private,788520,Oil & Gas
4040,Wilson-Lee,Singapore,6726,Public,74273670,Healthcare
4041,Johnson-Lin,Thailand,,Public,279275,Healthcare
4042,Lee PLC,Thailand,271,Public,,Financials
4043,Bennett Inc,Singapore,,Public,104448,Construction
4044,"Johnson, Kelly and Howard",Hongkong,7232,Public,,Information Technology
4045,"Walker, Lewis and Baker",Malaysia,327,Private,115274,Information Technology
4046,Campbell LLC,Singapore,1732,Public,69526238,Information Technology
4047,Estes Ltd,Singapore,,Private,814409,Oil & Gas
4048,Strong-Gomez,Singapore,,Public,123772,Financials
4049,Smith Group,Thailand,7296,Public,21111527,Information Technology
4050,Smith-Jones,Singapore,,Private,569362,Financials
4051,"Moore, Benson and Mendez",Malaysia,274,Private,830009,Financials
4052,Monroe-Kent,Thailand,9362,Private,,Financials
4053,"Williams, Lewis and Torres",Thailand,181,Private,883887,Information Technology
4054,Long Group,Hongkong,,Public,945137,Information Technology
4055,Kramer and Sons,Singapore,2604,Public,,Education
4056,Pitts-Perry,Hongkong,498,Private,626294,Oil & Gas
4057,Hernandez Group,Hongkong,,Public,538554,Construction
4058,Cuevas-Gordon,Singapore,5198,Private,,Oil & Gas
4059,"Baxter, Rodriguez and Murray",Malaysia,8996,Public,,Education
4060,Sweeney PLC,Singapore,,Public,619775,Healthcare
4061,Torres PLC,Hongkong,9824,Public,,Information Technology
4062,Hawkins LLC,Thailand,8806,Public,39511970,Financials
4063,Hall-Gordon,Thailand,306,Private,552556,Education
4064,"Sullivan, Rosario and Moss",Singapore,1773,Public,,Financials
4065,Harris PLC,Malaysia,5008,Private,,Education
4066,Franklin and Sons,Malaysia,7702,Public,79543775,Construction
4067,"Krause, Lewis and Rivera",Malaysia,4401,Private,,Financials
4068,Lee Ltd,Thailand,,Private,174107,Oil & Gas
4069,"Ayers, Russell and Miller",Malaysia,,Public,824510,Education
4070,Bell Inc,Hongkong,8612,Public,56673286,Healthcare
4071,"Romero, Ward and Henderson",Hongkong,9889,Public,17283038,Financials
4072,"Rogers, Thomas and Brown",Malaysia,6606,Public,21642722,Oil & Gas
4073,Gonzalez-Perez,Singapore,184,Private,345613,Construction
4074,White Ltd,Hongkong,8741,Private,,Information Technology
4075,Cross LLC,Singapore,7618,Private,,Oil & Gas
4076,Robinson Inc,Singapore,,Private,855626,Financials
4077,Rose Inc,Singapore,450,Private,762750,Information Technology
4078,"Gomez, Smith and Byrd",Hongkong,5461,Public,88199949,Information Technology
4079,Brown-Wagner,Malaysia,556,Private,,Education
4080,"Ramirez, Dean and Carter",Thailand,8374,Public,16605348,Healthcare
4081,Garcia-Mahoney,Thailand,,Public,192779,Information Technology
4082,Lam PLC,Hongkong,209,Private,680971,Healthcare
4083,"Roberts, Mcfarland and Price",Malaysia,4897,Public,51532066,Education
4084,Evans Group,Hongkong,4452,Public,22844626,Construction
4085,Wilson-Cox,Malaysia,2793,Public,,Education
4086,Cordova and Sons,Singapore,4722,Private,,Financials
4087,"Johnson, Stanton and Little",Hongkong,2743,Public,99316603,Healthcare
4088,Doyle-Norris,Singapore,287,Private,124366,Construction
4089,Patrick-Perez,Hongkong,,Public,760816,Education
4090,"Carpenter, Deleon and Ross",Singapore,4313,Public,66690478,Oil & Gas
4091,"Watson, Kim and Washington",Singapore,3511,Private,,Education
4092,Anderson-Chan,Hongkong,86,Private,537544,Information Technology
4093,Daniels LLC,Malaysia,,Public,333164,Healthcare
4094,"Guerrero, Guerra and Johns",Hongkong,,Public,566416,Construction
4095,Boone Group,Hongkong,8455,Public,93519837,Oil & Gas
4096,Black-Caldwell,Malaysia,6987,Public,21417477,Oil & Gas
4097,"Lawson, Barber and Simon",Singapore,468,Private,283757,Construction
4098,Smith PLC,Thailand,,Private,282957,Construction
4099,Mercer-Smith,Thailand,8880,Public,,Oil & Gas
4100,Riley-Mcbride,Malaysia,9910,Public,74078779,Healthcare
4101,Brewer PLC,Thailand,427,Private,651699,Education
4102,"Ortega, Wall and Haas",Malaysia,77,Private,334199,Education
4103,Morales and Sons,Malaysia,303,Private,486797,Financials
4104,Campbell-Barr,Thailand,6278,Public,70384296,Information Technology
4105,Harris Group,Malaysia,,Private,589108,Information Technology
4106,Smith LLC,Hongkong,143,Private,801067,Information Technology
4107,Reeves Group,Hongkong,428,Private,378226,Information Technology
4108,Frazier PLC,Hongkong,1141,Public,83844090,Financials
4109,"Adams, Henson and Lambert",Singapore,9329,Public,63609592,Healthcare
4110,Moyer-Cobb,Singapore,1503,Private,,Oil & Gas
4111,Gonzalez Ltd,Singapore,305,Private,973815,Financials
4112,Ramirez Inc,Hongkong,3745,Public,80928613,Healthcare
4113,Yu and Sons,Hongkong,365,Private,923973,Oil & Gas
4114,"Nelson, Stewart and Stephens",Malaysia,4590,Public,98492271,Financials
4115,Ward-Green,Thailand,,Private,118404,Information Technology
4116,"Walker, Drake and Deleon",Thailand,3705,Public,,Financials
4117,Brady-Allen,Hongkong,410,Private,118158,Information Technology
4118,"Love, Crawford and Bryant",Thailand,,Public,199752,Financials
4119,Wolfe and Sons,Thailand,1677,Private,,Financials
4120,Simpson-Bailey,Malaysia,3982,Public,64657542,Construction
4121,"Gray, West and Solomon",Hongkong,8378,Public,74386801,Information Technology
4122,"Taylor, Grant and Diaz",Hongkong,4965,Private,,Information Technology
4123,Burgess-Carr,Malaysia,8845,Private,,Education
4124,Cunningham LLC,Singapore,2240,Public,,Financials
4125,Barnett PLC,Thailand,9871,Public,63944180,Education
4126,Parker LLC,Singapore,5570,Private,,Healthcare
4127,Mann Ltd,Hongkong,4618,Private,,Healthcare
4128,"Boyd, Sparks and Garcia",Thailand,322,Private,523053,Oil & Gas
4129,"Anderson, Rosales and Richard",Singapore,366,Private,583300,Financials
4130,Owens-Gonzalez,Malaysia,1133,Public,18577819,Education
4131,Hancock-Smith,Hongkong,4900,Public,,Healthcare
4132,"Ortiz, Owen and Chandler",Singapore,358,Private,116996,Construction
4133,Watson Inc,Thailand,8905,Public,27774961,Healthcare
4134,Brown Group,Hongkong,61,Private,868840,Healthcare
4135,Pruitt and Sons,Hongkong,2032,Public,,Oil & Gas
4136,Hurley LLC,Thailand,,Private,811408,Construction
4137,Torres Inc,Malaysia,3196,Public,33050430,Oil & Gas
4138,Gill-Lopez,Thailand,418,Private,371734,Education
4139,Simpson-Lopez,Singapore,,Private,360663,Healthcare
4140,"Donovan, Johnson and Ramos",Malaysia,108,Private,208453,Education
4141,Hunt PLC,Hongkong,5033,Public,95330624,Oil & Gas
4142,Ellis-Nichols,Hongkong,,Public,247133,Education
4143,Green PLC,Thailand,7248,Public,,Healthcare
4144,"Jones, Davis and Bowman",Singapore,9079,Public,24644273,Education
4145,Henry LLC,Thailand,121,Private,,Healthcare
4146,"Doyle, Bailey and Mathews",Hongkong,8657,Public,,Financials
4147,"Gutierrez, Hartman and Smith",Singapore,161,Private,628109,Oil & Gas
4148,Carroll PLC,Hongkong,9783,Public,16375332,Oil & Gas
4149,Davis Ltd,Hongkong,6609,Public,56255370,Education
4150,Gordon Inc,Malaysia,6342,Private,,Oil & Gas
4151,Miller Inc,Thailand,,Public,909745,Construction
4152,Rosario Inc,Hongkong,100,Private,304991,Construction
4153,Downs and Sons,Thailand,3003,Public,64331848,Oil & Gas
4154,"Vazquez, Wilson and Mueller",Hongkong,,Public,584535,Healthcare
4155,"Bright, Smith and Larson",Thailand,,Public,266420,Education
4156,Contreras Ltd,Hongkong,4937,Public,,Construction
4157,Gonzalez LLC,Thailand,174,Private,367091,Financials
4158,"Evans, Johnson and Thompson",Malaysia,7135,Private,,Financials
4159,Jennings Ltd,Singapore,,Private,292788,Healthcare
4160,Mckenzie Ltd,Malaysia,,Public,901945,Healthcare
4161,"Price, Bolton and Jackson",Singapore,,Private,956310,Construction
4162,"Rivera, Jones and Erickson",Thailand,,Public,351481,Oil & Gas
4163,Mitchell-Archer,Hongkong,382,Private,558774,Education
4164,Lopez Ltd,Thailand,424,Private,354126,Healthcare
4165,Jenkins-Henderson,Singapore,371,Private,623994,Education
4166,"Johnson, Sanchez and Fisher",Malaysia,5300,Public,96788523,Construction
4167,"Reynolds, Miller and Myers",Singapore,490,Private,109708,Healthcare
4168,Perez-Reilly,Malaysia,8968,Public,,Oil & Gas
4169,"Green, Robinson and Jones",Hongkong,3966,Private,,Construction
4170,"Floyd, Lambert and Reynolds",Singapore,437,Private,535579,Financials
4171,"Adams, Porter and Francis",Hongkong,3157,Public,22226235,Oil & Gas
4172,"Vazquez, Hawkins and Padilla",Singapore,,Public,808841,Financials
4173,Phillips Group,Hongkong,,Public,738097,Construction
4174,"Hawkins, Mcintyre and Anderson",Hongkong,208,Private,100023,Financials
4175,"Nichols, Richards and Stephens",Hongkong,357,Private,444823,Financials
4176,"White, Dillon and Garcia",Singapore,9118,Private,,Information Technology
4177,Snyder and Sons,Hongkong,148,Private,484428,Education
4178,"Henry, Martinez and Mullen",Thailand,7207,Public,23568760,Oil & Gas
4179,"Curtis, Walton and Davis",Thailand,225,Private,919842,Financials
4180,Long-Vazquez,Singapore,,Public,643806,Financials
4181,Davis-Brown,Singapore,7179,Public,,Information Technology
4182,"Salazar, Fuller and Martin",Malaysia,354,Private,507335,Education
4183,"Holmes, Lynch and Miller",Malaysia,1907,Public,71961701,Oil & Gas
4184,Mccullough Ltd,Singapore,379,Private,,Information Technology
4185,Jones LLC,Thailand,,Private,928480,Education
4186,"Beasley, Robinson and Bailey",Thailand,2426,Public,51538555,Construction
4187,Thomas Group,Thailand,2601,Public,45353620,Construction
4188,"Smith, Thomas and George",Thailand,3545,Public,,Financials
4189,Smith Inc,Singapore,,Public,591697,Oil & Gas
4190,Fuller-Becker,Thailand,8507,Public,51415207,Healthcare
4191,Hernandez Group,Malaysia,6241,Public,83374623,Education
4192,"Figueroa, Franklin and Booth",Malaysia,4086,Public,,Financials
4193,"Collins, Molina and Miles",Hongkong,385,Private,630926,Oil & Gas
4194,"Sims, Chavez and Underwood",Hongkong,,Private,554269,Construction
4195,Moreno-Kim,Hongkong,1553,Private,,Construction
4196,Collins and Sons,Singapore,418,Private,430733,Oil & Gas
4197,"Fischer, Jensen and Stewart",Malaysia,2232,Public,26313226,Financials
4198,Allen-Downs,Thailand,1665,Private,,Information Technology
4199,"Silva, Oconnor and Diaz",Thailand,257,Private,935738,Healthcare
4200,Novak PLC,Thailand,8369,Private,,Education
4201,"Johnson, Myers and Hernandez",Hongkong,,Public,547501,Construction
4202,Ortiz PLC,Hongkong,9777,Public,,Construction
4203,Holden Group,Hongkong,,Private,930245,Financials
4204,Harris PLC,Thailand,405,Private,399064,Education
4205,Brown Inc,Malaysia,118,Private,699546,Education
4206,"Travis, Mckee and Lester",Hongkong,2133,Public,54524068,Financials
4207,"Boyd, Washington and Robbins",Hongkong,182,Private,593837,Financials
4208,"Carey, Little and Hawkins",Singapore,4080,Public,85521464,Healthcare
4209,Thompson-Marks,Thailand,2701,Public,,Financials
4210,Johnson-Ellis,Hongkong,3160,Private,,Construction
4211,French-Lane,Singapore,405,Private,893612,Financials
4212,Howard-Brown,Singapore,57,Private,462576,Education
4213,Price-Vargas,Thailand,8260,Public,,Education
4214,"Wheeler, Gonzalez and Osborne",Hongkong,67,Private,778545,Financials
4215,Johnson-Maldonado,Hongkong,,Private,326541,Construction
4216,Drake-Gardner,Hongkong,,Public,916635,Construction
